category,description,link,datatype
MENSTRUAL_FLOW_LIGHT,Light menstrual flow.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#MENSTRUAL_FLOW_LIGHT,HealthDataTypes
MENSTRUAL_FLOW_MEDIUM,Medium menstrual flow.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#MENSTRUAL_FLOW_MEDIUM,HealthDataTypes
MENSTRUAL_FLOW_SPOTTING,Spotting menstrual flow.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#MENSTRUAL_FLOW_SPOTTING,HealthDataTypes
OVULATION_TEST_RESULT_NEGATIVE,Negative ovulation test result.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#OVULATION_TEST_RESULT_NEGATIVE,HealthDataTypes
OVULATION_TEST_RESULT_POSITIVE,Positive ovulation test result.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#OVULATION_TEST_RESULT_POSITIVE,HealthDataTypes
OXYGEN_SATURATION_MEASUREMENT_METHOD_PULSE_OXIMETRY,Blood oxygen saturation measured by pulse oximetry.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#OXYGEN_SATURATION_MEASUREMENT_METHOD_PULSE_OXIMETRY,HealthDataTypes
OXYGEN_SATURATION_SYSTEM_PERIPHERAL_CAPILLARY,Blood oxygen saturation measured in peripheral capilliaries.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#OXYGEN_SATURATION_SYSTEM_PERIPHERAL_CAPILLARY,HealthDataTypes
OXYGEN_THERAPY_ADMINISTRATION_MODE_NASAL_CANULA,Oxygen therapy administration by nasal canula.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#OXYGEN_THERAPY_ADMINISTRATION_MODE_NASAL_CANULA,HealthDataTypes
TEMPORAL_RELATION_TO_SLEEP_BEFORE_SLEEP,Before sleep.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#TEMPORAL_RELATION_TO_SLEEP_BEFORE_SLEEP,HealthDataTypes
TEMPORAL_RELATION_TO_SLEEP_DURING_SLEEP,During sleep.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#TEMPORAL_RELATION_TO_SLEEP_DURING_SLEEP,HealthDataTypes
TEMPORAL_RELATION_TO_SLEEP_FULLY_AWAKE,Fully awake.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#TEMPORAL_RELATION_TO_SLEEP_FULLY_AWAKE,HealthDataTypes
TEMPORAL_RELATION_TO_SLEEP_ON_WAKING,After sleep.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#TEMPORAL_RELATION_TO_SLEEP_ON_WAKING,HealthDataTypes
AWAKE,The user is in an awake period in the middle of sleep session.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/SleepStages#AWAKE,SleepStagesDataTypes
